name,train_oof_path,te_path,train_oof_rae,te_unblind_rae,tr_std,te_std
oof_nb211_div15_chemprop_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb211_div15_chemprop_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb211_div15_chemprop_blend.npy,0.29688550937867003,0.776558503538066,1.020034511363291,0.5916200165907087
oof_nb209_direct_best_inflate,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb209_direct_best_inflate.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb209_direct_best_inflate.npy,0.2972463018223423,0.7856395595149338,1.0261961823970323,0.5951937857902787
oof_nb199_external_pxr,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb199_external_pxr.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb199_external_pxr.npy,0.2974273128383679,0.7737331472958858,1.0225022023233756,0.5930512773475629
oof_nb197_dense_grid,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb197_dense_grid.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb197_dense_grid.npy,0.29763941493467416,0.7724036392680231,1.0229644122133383,0.593319359085541
oof_nb204_multiseed_fast_baseline,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb204_multiseed_fast_baseline.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb204_multiseed_fast_baseline.npy,0.2977582869607804,0.771853638669194,1.0235114696965069,0.593636652424052
oof_nb196_fine_div15,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb196_fine_div15.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb196_fine_div15.npy,0.29775972927413813,0.7721245028572303,1.0232439095116888,0.5934814675168848
oof_nb195_expanded,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb195_expanded.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb195_expanded.npy,0.2980802627933153,0.7732570051428495,1.0238410177400061,0.5938277902903036
oof_nb194_constrained,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb194_constrained.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb194_constrained.npy,0.2980993394753884,0.7735780567370824,1.023680076745543,0.5937344445127793
oof_nb202_ridge_baseline,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb202_ridge_baseline.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb202_ridge_baseline.npy,0.2981824581135526,0.774861322350164,1.0247259103481314,0.5943410280019215
oof_nb188_diverse_refine,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb188_diverse_refine.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb188_diverse_refine.npy,0.298519144172409,0.7721584444782947,1.0236977125653866,0.5953072145256848
oof_nb187_diversity_qreg,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb187_diversity_qreg.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb187_diversity_qreg.npy,0.2992458563208321,0.7788578445178854,1.0255920138609615,0.5975414845037268
oof_nb192_poly_variant,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb192_poly_variant.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb192_poly_variant.npy,0.2994155540121504,0.7768142297268483,1.0266029158890904,0.5967413274576086
oof_nb184_grand_v16,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb184_grand_v16.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb184_grand_v16.npy,0.2997114051387842,0.7634200428463958,1.0228203757098953,0.5932931761097723
oof_nb183_qreg_poly10,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb183_qreg_poly10.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb183_qreg_poly10.npy,0.30002292315533163,0.7642858441744639,1.0245910888076204,0.594279710090805
oof_nb176_optuna_weights,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb176_optuna_weights.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb176_optuna_weights.npy,0.30010050713467795,0.7632820648401613,1.0218617756438824,0.5928898873377834
oof_nb175_bayes_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb175_bayes_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb175_bayes_blend.npy,0.3001007420210161,0.7630985513363745,1.0221218914469918,0.5932347969653354
oof_nb170_grand_v15,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb170_grand_v15.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb170_grand_v15.npy,0.30010090095879305,0.7631819893280001,1.0221178182328101,0.5932466465348321
oof_nb181_quantile_poly,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb181_quantile_poly.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb181_quantile_poly.npy,0.300199007877276,0.7629895773487121,1.0224465877318296,0.5934705535662387
oof_nb173_softmax_sweep,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb173_softmax_sweep.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb173_softmax_sweep.npy,0.3005538469674753,0.7605921950017624,1.0239176190344164,0.5944873271632541
oof_nb164_grand_v14,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb164_grand_v14.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb164_grand_v14.npy,0.30131851926361575,0.7573443524295521,1.0264857526508928,0.5944493950143526
oof_nb180_nonlinear_6model,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb180_nonlinear_6model.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb180_nonlinear_6model.npy,0.30247983874450657,0.7619532839904573,1.0339774691568762,0.6186331919892526
oof_199_nb197_nb123_w05,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_199_nb197_nb123_w05.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_199_nb197_nb123_w05.npy,0.3024805961283146,0.7669942170578254,1.00647254702114,0.585052959866173
oof_nb167_xgboost_mae,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb167_xgboost_mae.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb167_xgboost_mae.npy,0.30378905442073495,0.7761600675476814,1.014935398026062,0.5921490321487755
oof_nb172_bootstrap_ensemble,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb172_bootstrap_ensemble.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb172_bootstrap_ensemble.npy,0.3039277416792077,0.7544989466324706,1.0290492593615426,0.5986924632268215
oof_nb155_grand_v13,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb155_grand_v13.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb155_grand_v13.npy,0.3044241213367424,0.75450488162029,1.0283525030757619,0.5976578213042516
oof_nb157_optuna_lgbm_mae,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb157_optuna_lgbm_mae.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb157_optuna_lgbm_mae.npy,0.30479491432797373,0.7711743593302295,1.0187111564265723,0.5842882067789268
oof_nb177_xgb_histgb,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb177_xgb_histgb.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb177_xgb_histgb.npy,0.3049725651020081,0.7773532099141724,1.0273571016320036,0.6072119434198712
oof_nb153_grand_v12,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb153_grand_v12.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb153_grand_v12.npy,0.3054563346648976,0.7471114731571127,1.027512241491159,0.5958670428586338
oof_nb166_catboost_v2,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb166_catboost_v2.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb166_catboost_v2.npy,0.3054681002372221,0.7478602924069427,1.030080663234433,0.6034463210519062
oof_nb151_grand_v11,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb151_grand_v11.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb151_grand_v11.npy,0.3055883045941623,0.7474209411017004,1.0248821807456434,0.5940656703497359
oof_nb165_multiseed_162c,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb165_multiseed_162c.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb165_multiseed_162c.npy,0.3056422013536002,0.7550992078308212,1.034489191252275,0.6081340678867092
oof_nb149_meta_maeloss,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb149_meta_maeloss.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb149_meta_maeloss.npy,0.3069297464978679,0.751187169665429,1.0318237375259902,0.5992656556552113
oof_nb162_mixed_pool,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb162_mixed_pool.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb162_mixed_pool.npy,0.30713553560761914,0.7730338725244411,1.0330130866237437,0.6030256696771439
oof_nb168_multiseed_catboost,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb168_multiseed_catboost.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb168_multiseed_catboost.npy,0.307753872914725,0.756066424612615,1.0300301658894742,0.6003580203890242
oof_nb156_catboost_mae,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb156_catboost_mae.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb156_catboost_mae.npy,0.308252037593143,0.7512641989810885,1.0218026167450387,0.5931931176844287
oof_nb315_v2_nb145_enh,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb315_v2_nb145_enh.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb315_v2_nb145_enh.npy,0.3082559823458928,0.7344159703779577,1.0409428439721702,0.5967688192648097
oof_nb154_lgbm_mae_filtered,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb154_lgbm_mae_filtered.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb154_lgbm_mae_filtered.npy,0.3087161945003658,0.7774467299831526,1.035585646358556,0.6066578766600071
