nb,name,tag,paradigms,best_rae_summary,rae_field
985,nb985_extended_blend,extended_blend,Ensemble,,
986,nb986_asymmetric_blend,asymmetric_blend,"Ensemble,AsymPenalty",,
987,nb987_exp_avg_ensemble,exp_avg_ensemble,Ensemble,,
988,nb988_nb982_stretch,nb982_stretch,RankStretch,,
989,nb989_affine_recalib,affine_recalib,Calibration,,
1000,nb1000_extended_stretch_nb982,extended_stretch_nb982,RankStretch,,
1001,nb1001_crossfit_nb988,crossfit_nb988,Other,,
1002,nb1002_stretch_nb986,stretch_nb986,RankStretch,,
1003,nb1003_hybrid_stretch_affine,hybrid_stretch_affine,RankStretch,,
1010,nb1010_cf4way_with_ph,cf4way_with_ph,Other,,
1011,nb1011_cf_chemprop_stretch_only,cf_chemprop_stretch_only,"ChempropGNN,RankStretch",,
1012,nb1012_isotonic_on_nb1001,isotonic_on_nb1001,IsotonicCalib,,
1013,nb1013_per_compound_weight,per_compound_weight,Other,,
1014,nb1014_bag_with_nb932,bag_with_nb932,SeedBag,,
1020,nb1020_bigger_bag,bigger_bag,SeedBag,,
1021,nb1021_stretch_only_bag,stretch_only_bag,"RankStretch,SeedBag",,
1022,nb1022_anchor_diversified_bag,anchor_diversified_bag,SeedBag,,
1023,nb1023_xgb_ortho_base,xgb_ortho_base,XGBoost,0.5519568934595281,oof_rae
1024,nb1024_lasso_blend,lasso_blend,Ensemble,,
1030,nb1030_mordred_lgbm,mordred_lgbm,"LGBM,PhysChemFeat",0.5648236977855738,oof_rae
1031,nb1031_multi_objective_ensem,multi_objective_ensem,Other,,
1032,nb1032_sp_only_training,sp_only_training,Other,,
1033,nb1033_stratified_kf_bag,stratified_kf_bag,SeedBag,,
1034,nb1034_chemberta_full_finetune,chemberta_full_finetune,Transformer,,
1042,nb1042_avalon_fp_lgbm,avalon_fp_lgbm,"LGBM,Fingerprint",0.6850962747953251,oof_rae
1043,nb1043_better_sp_mapping,better_sp_mapping,Other,,
1044,nb1044_pubchem_pxr_join,pubchem_pxr_join,Other,,
1050,nb1050_triple_ortho_bag,triple_ortho_bag,SeedBag,,
1051,nb1051_quad_ortho_bag,quad_ortho_bag,SeedBag,,
1052,nb1052_meta_stack_lgbm,meta_stack_lgbm,"LGBM,Stacking,Meta",,
1053,nb1053_quantile_stretch,quantile_stretch,"QuantileReg,RankStretch",,
1060,nb1060_bag_nb1053,bag_nb1053,SeedBag,,
1061,nb1061_finer_bins,finer_bins,Other,,
1062,nb1062_lowess_stretch,lowess_stretch,RankStretch,,
1063,nb1063_perq_stretch_others,perq_stretch_others,RankStretch,,
1064,nb1064_bag_plus_perq,bag_plus_perq,SeedBag,,
1070,nb1070_median_bag,median_bag,SeedBag,,
