file,nb_num,in_RAE,n_test
te_oof_delta_loso,,0.8296504154235612,513
te_lgbm_chemberta_emb,,0.8319178510149497,513
te_oof_grand_v11,,0.8340866587005172,513
te_oof_adaptive_delta_4tier,,0.8340909805149134,513
te_oof_nested_adaptive_delta,,0.8340909805149134,513
te_nb133_neighbor_aware,133.0,0.8358798834831725,513
te_nb260_id_aware,260.0,0.8458863395106068,513
te_knn,,0.8499978457112537,513
te_nb101_delta_smooth,101.0,0.8556918987576085,513
te_oof_delta_ml,,0.8679395488805086,513
te_nb101_delta_base,101.0,0.8679395488805086,513
te_unimol,,0.8692716194395105,513
te_nb273_molformer_only,273.0,0.8720771529105559,513
te_nb177_knn_only,177.0,0.8726930453208578,513
te_nb101_delta_base_calib,101.0,0.8749322098918607,513
te_nb289_test_time_finetune,289.0,0.8839733929947409,513
te_oof_lgbm_all_external_v2,,0.8968324553871312,513
te_bert_smiles,,0.9131216594917959,513
te_nb213_zinc_mlp,213.0,0.9210065422589183,513
te_nb213_chemberta_zinc,213.0,0.9266586096593651,513
te_nb135_sc_neighborhood,135.0,0.9319466376219161,513
te_selformer,,0.9385572395421495,513
te_nb290_mmp_transform,290.0,0.9406385330927096,513
te_oof_gp_tanimoto,,0.9437609492938814,513
te_oof_lgbm_crc_sp_chembl_pxr,,0.9535631147442633,513
te_nb213_zinc_lgbm,213.0,0.9553762417774351,513
te_nb103_seed_propagation,103.0,0.9564913831995431,513
te_nb275_frag,275.0,0.9577146654537413,513
te_oof_creative_mega_ensemble,,0.9586110289147541,513
te_grand_v6,,0.9594087618627027,513
te_nb275_fw,275.0,0.9704450630097348,513
te_aux_features,,0.9753371329879014,513
te_nb266_alpha070,266.0,1.0020190281006445,513
te_nb266_alpha050,266.0,1.0027783883096353,513
te_nb266_alpha100,266.0,1.0650763328932789,513
te_nb281_lambdarank,281.0,1.1551589082754061,513
te_nb276_murcko,276.0,1.1596568082372094,513
te_oof_cliff_adaptive_blend,,1.1599607369251186,513
te_nb276_brics,276.0,1.1922106951368205,513
te_nb266_alpha030,266.0,1.2113834186610821,513
te_nb276_recap,276.0,1.2404202802087896,513
te_nb108_grand_v2,108.0,1.3207913653316783,513
te_nb280_meta_analogy,280.0,1.3926330116261523,513
te_nb279_pocket_aware,279.0,1.625500306095608,513
te_nb282_kg_hetgnn,282.0,2.231579531387836,513
te_nb307_soci,307.0,3.5237397401772323,513
te_nb247_hardness,247.0,3.80493225772377,513
te_gp_uncertainty,,4.89821111615075,513
te_nb116_quantile_width,116.0,5.138389481880962,513
te_nb270_top1sim,270.0,5.176068652960899,513
te_nb288_gp_std,288.0,5.311766679672494,513
te_ensemble_uncertainty,,5.441288647072871,513
te_oof_stochastic_std,,5.592610560090874,513
te_chemprop_disagreement_std,,5.68720701394833,513
te_nb172_variance,172.0,5.700960028220155,513
te_nb271_correction,271.0,5.816730966617674,513
te_nb246_tta_var,246.0,5.839899408488893,513
te_oof_chemprop_chembl_nr_multitask,,5.839899408488894,513
te_nb218_residual_blend,218.0,5.840374689004315,513
te_boltz_iptm_adjustment,,5.992075506436624,513
te_nb259_multitask_nn,259.0,149.2737212541535,513
