model,rae,spearman,kendall,r2,mae,te_std
nb128_rf_aug,0.7454186224300159,0.6660004880000636,0.47702778327581746,0.30265042358791105,0.5953381571748432,0.629375807907071
nb297_pysr,0.7456860576850324,0.6546328412757008,0.46038910442513087,0.3503768208623864,0.5955517477762773,0.5313193155933151
nb272_D_pxr_papyrus_nr_pubchem,0.7459577010422752,0.6193272225306204,0.4399831775327793,0.2703086975367932,0.5957686992326047,0.5171600708809281
nb179_stack,0.7460093119867877,0.6372843394594463,0.45013041377170954,0.3208341599172042,0.5958099189763454,0.5591728806455424
nb120_huber_1_0,0.7460841977755746,0.6486620571759939,0.4608286166966584,0.285588983252951,0.5958697274734147,0.6421517696090046
nb217_pxr_modes,0.7468884821936711,0.6846768338960564,0.48675984071678513,0.34993838292707624,0.5965120795543878,0.504095393488603
nb153_grand_v12,0.7471114731571127,0.639160674150683,0.4542359326237449,0.30239536008928913,0.5966901741515004,0.5958670428586338
nb151_grand_v11,0.7474209411017005,0.6395263684669356,0.45467544489527245,0.302496837674022,0.5969373347003407,0.5940656703497359
nb223_pool_plus_nb219,0.7474848023716283,0.649589075594701,0.4616448537723525,0.33174290336585055,0.5969883383238211,0.5972321077496301
nb272_B_pxr_papyrus,0.7475759735089913,0.693504257487463,0.4919712005077549,0.3608241819277095,0.5970611533237044,0.5295840541994749
nb166_catboost_v2,0.7478602924069427,0.6464423260223269,0.4583171180022152,0.31510987660656775,0.597288228263427,0.6034463210519062
nb219_aug_30pct,0.7479729564067098,0.7343115934585159,0.5278228443709325,0.4202027755561176,0.5973782088139298,0.5367810795407951
nb284_multimetric_biomech,0.7480563691963682,0.6433993195183931,0.4569985811876325,0.3293605144868922,0.5974448275097682,0.5845305794896524
nb175_stack_nb224_eng,0.7484859413794109,0.642462231066724,0.45596973982565975,0.33073614445207955,0.5977879108513039,0.573003754635264
nb125_enet,0.7484923434502876,0.6697971137940254,0.47514415925498504,0.2997748458101631,0.5977930239474396,0.6015425280037549
nb176_stack_nb224,0.7485635123392238,0.6393969933374211,0.45345820173793927,0.3296221883902418,0.5978498638947022,0.5715624833572268
nb123_huber_1.0,0.7490401247935101,0.6592809012527917,0.4677352381063774,0.29464511743795585,0.5982305165530655,0.6425905660415843
nb299_nrclip,0.74984210543215,0.696432405594195,0.49498499894108683,0.3704375377114816,0.5988710286909851,0.53554326403874
nb120_huber_2_0,0.7501893781890057,0.6508951267241746,0.46296339058693525,0.2978786390758835,0.5991483825387189,0.6398397620675103
nb169_rf_et_mae,0.7507069563243404,0.6427868649036357,0.45392199528693944,0.29302639400699093,0.5995617529644264,0.6139486161769389
nb126_classifier_conditioned,0.7507385810126035,0.6740290899644786,0.4816740558605375,0.3061169316372164,0.5995870104279043,0.673255880925247
nb224_pool_plus_2,0.7509481358150754,0.6435867980635033,0.4562451315792995,0.3303104767410786,0.5997543740624807,0.5977829261997223
nb149_meta_maeloss,0.7511871696654289,0.6351817569650329,0.4494012976369416,0.2962147969418738,0.599945281517285,0.5992656556552113
nb156_catboost_mae,0.7512641989810885,0.6439850973441229,0.45875663027374275,0.3053602240694029,0.6000068019696232,0.5931931176844287
nb120_huber_0_5,0.7513164187634646,0.6440547534043615,0.4570613686549935,0.277837724689462,0.6000485079695438,0.6450704259527141
nb248_personalized,0.7515326464535486,0.6495583231851276,0.4593845049473535,0.34346828868081636,0.60022120099152,0.5297161749451849
nb242_huber,0.7518803273873399,0.6431996141116453,0.45090819685360756,0.3342226839922081,0.6004988808350062,0.5302762620949583
nb127_exhaustive_blend,0.7525520825815862,0.6541178310430856,0.4632773279237406,0.2896773073837807,0.601035386749108,0.5925125270147638
nb145_lgb_stack,0.7528803557939121,0.6383370282894576,0.4519127963313848,0.3251649462932503,0.6012975663665675,0.5972082931367864
nb145_xgb_stack,0.7537725153868888,0.6414189384440565,0.45335690808068974,0.32407176486766,0.6020101010846527,0.5939186215400696
nb110_scaffold_prior,0.7543111489948772,0.6302758213606755,0.4449433874543048,0.2751341872609493,0.6024402877340376,0.6261405787389159
nb172_bootstrap_ensemble,0.7544989466324706,0.6333091945796827,0.44889899789805293,0.29029492982761296,0.6025902747294284,0.5986924632268215
nb155_grand_v13,0.75450488162029,0.6320891019926312,0.4479571858876367,0.2886648416307086,0.602595014783681,0.5976578213042516
nb171_catboost_extended,0.754690098647674,0.6426890500105347,0.4572497310570768,0.30467866266730237,0.6027429407415821,0.6066701596141126
nb273_combined,0.7549100624782225,0.6758249565813745,0.4772161456779007,0.3564530105316116,0.6029186176801283,0.5393586415986996
nb165_multiseed_162c,0.7550992078308211,0.6379290957239114,0.45128492165777406,0.30023542245149026,0.6030696810454185,0.6081340678867092
nb272_A_full_pxr,0.7554640267196213,0.6711024239015816,0.4678608130410996,0.3407251963632879,0.6033610483367975,0.5225304028524671
