name,rae,spearman,kendall,r2,mae,te_mean,te_std,boltz_sp,selectivity_sp,biomech_score
nb172_bootstrap_ensemble,0.3039277416792077,0.8835381552429228,0.7254033781585612,0.8466243367906141,0.2765230620984451,4.936890943148344,0.5986924632268215,0.07226833600700847,0.2833586301397138,0.17781348307336114
nb155_grand_v13,0.3044241213367424,0.8833799600327927,0.7250319185729128,0.8464063614771765,0.27697468399418423,4.937072659536531,0.5976578213042516,0.07272022976539924,0.28039474395294334,0.17655748685917128
nb157_optuna_lgbm_mae,0.30479491432797373,0.8802020029695151,0.7212485512314298,0.8421536129094203,0.27731204317295954,4.953907145585186,0.5842882067789268,0.07781852287983254,0.266858552631579,0.17233853775570576
nb177_xgb_histgb,0.3049725651020081,0.8818959672998391,0.7232600002093829,0.8449039656038259,0.2774736754601233,4.941683235040687,0.6072119434198712,0.06996655772862767,0.318039165073839,0.19400286140123335
nb153_grand_v12,0.3054563346648976,0.8827385732620928,0.7242281810815481,0.8463520764411484,0.2779138242933332,4.930729313672677,0.5958670428586338,0.0703724088106128,0.27813367522242705,0.17425304201651992
nb166_catboost_v2,0.3054681002372221,0.8835590840812105,0.7256871190133417,0.8456741046664903,0.27792452898277203,4.918289584009891,0.6034463210519062,0.07614614265478874,0.2869618695530981,0.18155400610394343
nb151_grand_v11,0.3055883045941623,0.8830348025930229,0.7244999921889305,0.8461697948006902,0.27803389470462103,4.929022616836575,0.5940656703497359,0.06986069512708491,0.2823931561028057,0.1761269256149453
nb165_multiseed_162c,0.3056422013536002,0.8820996473836222,0.7239755511366487,0.8453460343706544,0.27808293167924736,4.934992245868274,0.6081340678867092,0.07557105362709629,0.3099822300157008,0.19277664182139853
nb149_meta_maeloss,0.30692974649786786,0.8814336293511904,0.7226738051705701,0.8446860295363151,0.2792543809320065,4.938541838201103,0.5992656556552113,0.06837079678362575,0.29956956319544,0.18397017998953286
nb162_mixed_pool,0.30713553560761914,0.8814171981018882,0.7225622269449062,0.8437873605165325,0.27944161436604753,4.944621659485207,0.6030256696771439,0.07053960239037933,0.31458765316745174,0.19256362777891553
nb168_multiseed_catboost,0.307753872914725,0.8824332917199282,0.7237991780084504,0.8437416233142642,0.28000419718466724,4.9144076877283105,0.6003580203890242,0.07029552287414387,0.2845597395726671,0.1774276312234055
nb156_catboost_mae,0.308252037593143,0.8832006235904719,0.7241734445934864,0.8435045721560617,0.28045744314880444,4.908572195683928,0.5931931176844287,0.06408056152865954,0.24031494968370998,0.15219775560618476
