model,rae,mae,spearman
nb244_deep_greedy,0.7631447643287708,0.6094953680819469,0.6550422558850818
nb111_selectivity_primary,0.7651610584826661,0.6111057073058173,0.6399635713982205
nb118_rf_et_blend,0.7653640758721549,0.6112678497515462,0.6745022324587588
nb125_lgbm_meta,0.766051458104229,0.6118168364001272,0.6529665815855353
nb120_mape,0.7662667490108357,0.611988781247947,0.6215002693034892
singleconc,0.7664957316359399,0.612171661162605,0.6629678558029738
oof_consensus_delta_ml,0.7711679510363595,0.6159031891980796,0.6266789009734615
nb272_C_pxr_papyrus_other_nr,0.7716905082622546,0.616320536238416,0.6402629442528629
nb214_div15_nb212_blend,0.7729642618342095,0.6173378358891148,0.6130526194447664
nb219_diversity_blend,0.7730601662821058,0.6174144312082516,0.6129092317037435
nb119_optuna_ensemble,0.7734997414533941,0.6177655035648307,0.6322899189322552
oof_scaffold_aware_knn,0.777667484748741,0.6210941252793528,0.5852397669800573
oof_nested_cv_ensemble,0.7781733420905212,0.6214981347427427,0.608105186613033
oof_lgbm_crc_singleconc_fdr,0.7791063581474701,0.6222433000005514,0.7027559161265993
nb221_singleconc_aux,0.7812597132873487,0.623963104741328,0.7462120349415122
nb281_precision,0.7864916665288118,0.6281416713983343,0.6620930168290416
nb230_top_torsion,0.7869202316063406,0.6284839504021157,0.6102803842527764
nb230_maccs,0.7890505478972061,0.6301853548702103,0.5908996007755619
nb94_chemberta_mtr,0.7895083239870764,0.630550963624193,0.5801919247433811
oof_nested_3tier_rdkit,0.7923444787601154,0.6328160950620679,0.5748773933244314
oof_allfp_adaptive_rdkit,0.7957942099769034,0.6355712672076954,0.5734613004402193
oof_grand_v9,0.7984748782336399,0.6377122173422118,0.5410979092183019
oof_delta_ensemble_blend,0.800471667399307,0.639306978656706,0.5367103184451881
nb265_binary,0.8013355403695145,0.6399969219001951,0.6816015929387144
oof_delta_5tiers,0.802675731403343,0.6410672826831612,0.5147974694373861
nb300_diffusion_aug,0.8029977071939178,0.6413244327838534,0.645214823216101
nb230_atom_pair,0.8030507420093621,0.6413667897204024,0.631041228648525
nb265_10cls,0.8031094801935087,0.6414137017256212,0.6689686512903368
nb118_rf,0.8072162612219069,0.6446936351426278,0.6292973019187068
oof_counter_delta,0.8095512099607401,0.6465584719436498,0.5514848134349438
oof_grand_v8,0.811674235359174,0.6482540534468576,0.5146004474947748
oof_full_desc_delta_3tier,0.8127950578363149,0.6491492127143924,0.5230540255288372
nb311_stable,0.8148888255877559,0.6508214272220357,0.5284244188566873
oof_blend_optimizer,0.8164649282752143,0.6520802018772905,0.4710457727648436
oof_grand_v10,0.8164649282752143,0.6520802018772905,0.4710457727648436
oof_allfp_delta_3tier,0.8171364885241714,0.652616552095833,0.4689167184090648
oof_delta_similarity_tiers,0.8200515043566123,0.6549446669317135,0.48843264575290246
oof_delta_uncertainty,0.8211060520672151,0.6557868950057003,0.5538368170008723
oof_enhanced_delta_3tier,0.8211098858175988,0.6557899568796861,0.4658025732241511
nb230_ecfp8,0.8218081429518042,0.6563476289085346,0.5271225187623299
oof_multi_templadelta,0.82215320120539,0.6566232141147884,0.5529775192731738
oof_reverse_delta_ml,0.8231991861164584,0.657458603398944,0.5526844450505366
nb215_chemist_features,0.8259669575639759,0.6596691196155562,0.7437107154592211
oof_delta_loso,0.8296504154235612,0.6626109605465058,0.5443627673761571
oof_grand_v11,0.8340866587005172,0.6661540232200309,0.40045824797604074
oof_adaptive_delta_4tier,0.8340909805149134,0.666157474892609,0.40045776639582165
oof_nested_adaptive_delta,0.8340909805149134,0.666157474892609,0.40045776639582165
nb260_id_aware,0.8458863395106068,0.675577989857502,0.6395271094888532
nb101_delta_smooth,0.8556918987576085,0.6834093256955421,0.46800498932666207
oof_delta_ml,0.8679395488805086,0.6931910687785359,0.44204540615018767
unimol,0.8692716194395105,0.6942549440399801,0.48282950329584434
nb273_molformer_only,0.8720771529105559,0.696495619381709,0.46768472134376593
nb101_delta_base_calib,0.8749322098918607,0.6987758473110008,0.44204540615018767
