file,te_rae,pred_oof_rae,gap,flag
te_nb309_novartis,0.7237636068994664,,,ok
te_nb228_medchem,0.7238577973340411,,,ok
te_nb418_external,0.7240023567939421,,,ok
te_nb317_external_mt,0.7243102663582611,,,ok
te_nb314_tdc,0.7248527620482573,,,ok
te_nb176_atom_sim,0.7250165715977626,,,ok
te_nb138_elnet_final,0.7255835265450004,,,ok
te_nb136_xgb_meta,0.725665945818155,,,ok
te_nb142_xgb_calibrated,0.725665945818155,,,ok
te_nb150_smarts,0.7256680250934943,,,ok
te_nb134_grand_v9,0.7257324064037918,,,ok
te_nb296_tda,0.7260750315871295,,,ok
te_lgbm_aug,0.7266338074117401,,,ok
te_nb141_xgb_ablation,0.7270100250929705,,,ok
te_nb180_full,0.7270517110615825,,,ok
te_nb170_boltz_feat,0.7273664336031685,,,ok
te_nb99_sc_bio_fp,0.727941258303133,,,ok
te_nb245_massive_mean,0.7279936725019484,,,ok
te_nb220_mmp_features,0.7281015855541659,,,ok
te_nb310_az,0.7281105391373315,,,ok
te_nb245_massive_trim,0.7281640836447185,,,ok
te_nb280_combined,0.7283830868847937,,,ok
te_nb295_rag,0.7287049696924366,,,ok
te_nb275_combined,0.7290725880020815,,,ok
te_oof_graph_spreading,0.7291397953697568,,,ok
te_nb308_active,0.7297975172397835,,,ok
te_nb462,0.7299967838531679,,,ok
te_nb291,0.7301964654549029,,,ok
te_nb313_admet,0.7302715060962478,,,ok
te_nb416_boltz_rdkit,0.7308451383574357,,,ok
te_nb132_tanimoto,0.731318800094459,,,ok
te_nb140_xgb_lgbm_meta,0.7313835283496438,,,ok
te_nb710_q50,0.7314699561977671,,,ok
te_nb213_chemberta_mtr,0.7316958727389314,,,ok
te_nb263_pxr_active_knn,0.7318409814233529,,,ok
te_nb128_et_aug,0.7319943010788307,,,ok
te_nb298_pose_ifp,0.7334834022079733,,,ok
te_nb283_rnn_transformer_mpnn,0.7339332064324727,,,ok
te_nb125_ridge,0.7339665900640079,,,ok
te_nb251_smarts,0.7342871755815014,,,ok
te_nb148_pxr_network,0.7343437490671652,,,ok
te_nb163_lgbm_colsample,0.7343727199362977,,,ok
te_nb315_v2_nb145_enh,0.7344159703779577,,,ok
te_nb115_extreme_weighted,0.7346748528708776,,,ok
te_nb145_level3_meta,0.7356692895353134,,,ok
te_nb124_scaffold_specific,0.736383050210563,,,ok
te_nb128_rf_et_aug,0.7376415754873745,,,ok
te_nb281_relabeled,0.7377742162149558,,,ok
te_nb144_grand_v10,0.7379356684160664,,,ok
te_nb319_strict_ood,0.7382227020558058,,,ok
te_nb147_oofrdkit_meta,0.7386897504095852,,,ok
te_nb123_fair_1.0,0.7390725261985824,,,ok
te_nb118_et,0.739326459108537,,,ok
te_lgbm_tuned,0.7393577731093235,,,ok
te_nb312_relabeled,0.7395494254560134,,,ok
te_nb146_chembl_analogy,0.7400173682720342,,,ok
te_nb116_quantile_q50,0.7404252383345625,,,ok
te_nb143_oofassay_meta,0.7404641149727479,,,ok
te_nb268_gated,0.7404699518858343,,,ok
te_nb177_bootstrap,0.7407184623918999,,,ok
te_nb288_gp_corrected,0.7409898506941832,,,ok
te_nb148_meta_disagreement,0.7418351649035628,,,ok
te_nb302_full_pool,0.7422746054881568,,,ok
te_nb317_anchored,0.7422747573667317,,,ok
te_nb304_cel,0.7423068173433498,,,ok
te_nb265_5cls,0.7427592165425243,,,ok
te_nb109_deep_meta_stack,0.742958711288211,,,ok
te_nb117_knn_residual,0.742958711288211,,,ok
te_nb144_full_papyrus,0.7435798562006641,,,ok
te_nb122_nonlinear_meta,0.7437111972353838,,,ok
te_nb179_fresh,0.7437679897822748,,,ok
te_nb107_assay_decomp,0.7439500623432751,,,ok
te_nb123_mse_reference,0.7439849947155797,,,ok
te_nb151_3d_quantum,0.7440169188834697,,,ok
te_nb123_lad_l1,0.7440479936850641,,,ok
te_nb109_deep_meta_stack_calib,0.7441261672821375,,,ok
te_nb292_molrule,0.7442950849289286,,,ok
te_nb107_assay_decomp_calib,0.7447127733212565,,,ok
te_nb121_test_sim_weighted,0.7448248151265504,,,ok
te_nb250_hbond_corr,0.7449341467024203,,,ok
te_nb133_interactions,0.7452927411946757,,,ok
te_nb269_routed,0.7454121573359932,,,ok
te_nb391_tars,0.7454122012770712,,,ok
te_nb314_slsqp5,0.7454122186405656,,,ok
te_nb239_full_slsqp,0.7454122186405661,,,ok
te_nb128_rf_aug,0.745418622430016,,,ok
te_nb297_pysr,0.7456860576850324,,,ok
te_nb272_D_pxr_papyrus_nr_pubchem,0.7459577010422752,,,ok
te_nb179_stack,0.7460093119867877,,,ok
te_nb120_huber_1_0,0.7460841977755747,,,ok
te_nb217_pxr_modes,0.7468884821936711,,,ok
te_nb153_grand_v12,0.7471114731571127,,,ok
te_nb151_grand_v11,0.7474209411017004,,,ok
te_nb223_pool_plus_nb219,0.7474848023716284,,,ok
te_nb272_B_pxr_papyrus,0.7475759735089913,,,ok
te_nb166_catboost_v2,0.7478602924069427,,,ok
te_nb219_aug_30pct,0.7479729564067099,,,ok
