iter	Passed	Remaining
786	60122	92667
787	60198	92589
788	60280	92521
789	60350	92434
790	60427	92359
791	60506	92287
792	60590	92222
793	60657	92132
794	60735	92058
795	60814	91986
796	60896	91917
797	60974	91844
798	61048	91763
799	61118	91678
800	61207	91620
801	61280	91539
802	61351	91453
803	61417	91362
804	61491	91282
805	61557	91190
806	61636	91118
807	61715	91045
808	61814	91002
809	61904	90945
810	61988	90881
811	62056	90791
812	62151	90742
813	62230	90670
814	62292	90572
815	62373	90503
816	62468	90453
817	62543	90374
818	62614	90290
819	62693	90217
820	62779	90154
821	62854	90075
822	62928	89996
823	63005	89920
824	63090	89855
825	63168	89781
826	63245	89706
827	63320	89626
828	63407	89566
829	63483	89488
830	63564	89419
831	63634	89333
832	63720	89270
833	63792	89186
834	63871	89114
835	63939	89026
836	64030	88968
837	64105	88890
838	64168	88796
839	64234	88704
840	64328	88652
841	64389	88555
842	64456	88464
843	64526	88379
844	64602	88303
845	64671	88216
846	64748	88141
847	64817	88054
848	64893	87976
849	64964	87892
850	65027	87798
851	65089	87702
852	65182	87648
853	65248	87558
854	65314	87467
855	65404	87409
856	65486	87341
857	65543	87238
858	65609	87148
859	65685	87071
860	65776	87014
861	65853	86939
862	65923	86854
863	65983	86756
864	66068	86691
865	66142	86611
866	66211	86525
867	66285	86446
868	66354	86360
869	66415	86263
870	66487	86182
871	66556	86096
872	66637	86026
873	66708	85942
874	66776	85855
875	66848	85773
876	66940	85717
877	67002	85622
878	67077	85544
879	67145	85457
880	67223	85384
881	67289	85294
882	67357	85208
883	67430	85127
884	67512	85058
885	67587	84979
886	67650	84887
887	67725	84809
888	67808	84742
889	67877	84655
890	67950	84575
891	68017	84487
892	68098	84417
893	68167	84332
894	68231	84240
895	68297	84152
896	68378	84082
897	68448	83998
898	68516	83912
899	68591	83834
900	68675	83767
901	68745	83683
902	68825	83612
903	68893	83525
904	68969	83449
905	69046	83374
906	69114	83288
907	69189	83209
908	69270	83140
909	69338	83054
910	69406	82967
911	69475	82883
912	69555	82810
913	69640	82745
914	69707	82658
915	69787	82587
916	69869	82517
917	69948	82445
918	70016	82359
919	70085	82273
920	70179	82218
921	70254	82141
922	70326	82060
923	70390	81970
924	70484	81914
925	70550	81826
926	70620	81742
927	70690	81659
928	70772	81589
929	70841	81505
930	70920	81432
931	70988	81347
932	71071	81278
933	71143	81197
934	71225	81128
935	71293	81043
936	71374	80972
937	71434	80877
938	71503	80793
939	71563	80699
940	71647	80631
941	71714	80545
942	71782	80459
943	71850	80374
944	71935	80309
945	72003	80223
946	72065	80132
947	72137	80051
948	72218	79980
949	72285	79894
950	72341	79796
951	72403	79704
952	72483	79632
953	72561	79559
954	72629	79474
955	72694	79385
956	72774	79314
957	72837	79224
958	72904	79137
959	72969	79050
960	73052	78982
961	73122	78899
962	73201	78826
963	73280	78753
964	73362	78683
965	73433	78603
966	73500	78517
967	73567	78431
968	73656	78368
969	73726	78287
970	73803	78211
971	73872	78128
972	73961	78066
973	74031	77983
974	74102	77902
975	74180	77828
976	74268	77765
977	74332	77677
978	74407	77599
979	74479	77519
980	74556	77444
981	74621	77357
982	74687	77271
983	74768	77200
984	74860	77140
985	74932	77060
986	75009	76985
987	75080	76904
988	75171	76843
989	75244	76764
990	75308	76676
991	75372	76588
992	75485	76549
993	75553	76465
994	75629	76389
995	75695	76303
996	75788	76244
997	75865	76169
998	75937	76089
999	76006	76006
1000	76088	75936
1001	76154	75850
1002	76225	75769
1003	76297	75689
1004	76388	75628
1005	76462	75549
1006	76525	75461
1007	76590	75375
1008	76675	75307
1009	76746	75227
1010	76815	75144
1011	76878	75055
1012	76964	74989
1013	77042	74914
1014	77117	74837
1015	77189	74758
1016	77269	74686
1017	77338	74603
1018	77412	74526
1019	77485	74446
1020	77585	74393
1021	77649	74306
1022	77723	74228
1023	77787	74141
1024	77877	74079
1025	77953	74002
1026	78029	73927
1027	78102	73847
1028	78187	73780
1029	78262	73703
1030	78335	73624
1031	78417	73554
1032	78500	73484
1033	78566	73399
1034	78626	73308
1035	78686	73217
1036	78767	73146
1037	78846	73073
1038	78922	72997
1039	78980	72904
1040	79074	72845
1041	79140	72760
1042	79218	72686
1043	79292	72608
1044	79383	72546
1045	79448	72460
1046	79515	72376
1047	79585	72295
1048	79676	72233
1049	79746	72151
1050	79817	72070
1051	79884	71986
1052	79972	71921
1053	80041	71839
1054	80120	71766
1055	80200	71694
1056	80294	71634
1057	80364	71552
1058	80438	71475
1059	80503	71390
1060	80592	71325
1061	80668	71249
1062	80745	71174
1063	80831	71107
1064	80921	71043
1065	80988	70960
1066	81055	70876
1067	81131	70800
1068	81213	70729
1069	81290	70654
1070	81359	70572
1071	81427	70489
1072	81511	70420
1073	81584	70341
1074	81649	70256
1075	81712	70169
1076	81783	70089
1077	81852	70007
1078	81923	69927
1079	81995	69847
1080	82084	69783
1081	82150	69698
1082	82217	69615
1083	82294	69540
1084	82379	69472
1085	82451	69393
1086	82518	69309
1087	82577	69219
1088	82666	69154
1089	82736	69073
1090	82815	69000
1091	82884	68918
1092	82964	68846
1093	83039	68769
1094	83105	68684
1095	83176	68605
1096	83257	68533
1097	83324	68450
1098	83404	68378
